crosslist, primary
LGST206403,OIDD291403
LGST206411,MGMT291411
LGST644401,LGST244401
LGST804401,REAL204401
LGST806401,OIDD691401
LGST806402,OIDD691402
LGST806403,OIDD691403
LGST806411,MGMT691411
LGST806412,MGMT691412
LGST807401,LGST223401
LING105401,CIS140401
LING105402,CIS140402
LING105403,CIS140403
LING105404,CIS140404
LING105405,CIS140405
LING105406,CIS140406
LING105407,CIS140407
LING105408,CIS140408
LING105409,CIS140409
LING105410,CIS140410
LING105411,CIS140411
LING105412,CIS140412
LING304401,LING504401
MATH460401,MATH500401
MATH514101,MATH314101
MATH514102,MATH314102
MATH514401,MATH314401
MATH594401,PHYS500401
MEAM613401,ESE617401
MEAM662401,CBE618401
MEAM662402,CBE618402
MGMT212401,MGMT812401
MGMT212402,MGMT812402
MGMT225401,MGMT714401
MGMT229402,MGMT729402
MGMT231401,MGMT806401
MGMT233401,MGMT833401
MGMT288401,MGMT788401
MGMT291406,LGST206406
MGMT291407,LGST206407
MGMT291408,LGST206408
MGMT291409,LGST206409
MGMT291410,LGST206410
MGMT691406,LGST806406
MGMT691407,LGST806407
MGMT691408,LGST806408
MGMT691409,LGST806409
MGMT691410,LGST806410
MKTG224401,MKTG724401
MKTG241401,MKTG741401
MKTG271401,MKTG771401
MPHY602401,BE583401
MSE550401,MEAM519401
MSE555401,MSE455401
MSE580401,MSE430401
MUSA620401,CPLN691401
MUSC060401,SAST104401
NELC031401,HIST081401
NELC136401,RELS143401
NELC153401,RELS130401
NELC183401,ANTH148401
NELC183402,ANTH148402
NELC183403,ANTH148403
NELC183404,ANTH148404
NELC183405,ANTH148405
NELC189401,SAST169401
NELC282401,HIST232401
NELC284401,ANTH221401
NELC285401,ARTH235401
NELC401401,HIND400401
NELC450401,NELC150401
NELC456401,NELC156401
NELC481680,AFST240680
NELC483680,AFST242680
NELC518401,NELC218401
NELC535401,NELC335401
NELC550401,NELC250401
NELC552401,NELC252401
NELC559401,NELC259401
NELC574401,NELC290401
NELC584401,ANTH221401
NELC585401,ANTH533401
NELC685401,ARTH235401
NELC740401,ARTH723401
NPLD590401,NPLD790401
NURS367401,NURS557401
NURS513401,NURS313401
NURS540401,NURS334401
NURS540402,NURS334402
NURS540403,NURS334403
